time;accelX;accelY;accelZ;gyroX;gyroY;gyroZ
11:48:20.197;2.50;3.39;-18.16;0.46;-0.17;0.14
11:48:20.252;1.69;-0.31;-11.22;-0.09;0.38;-0.16
11:48:20.298;1.61;-1.04;-5.41;0.06;-0.40;0.17
11:48:20.321;3.42;-2.28;-9.30;-0.51;0.17;0.00
11:48:20.365;-0.12;-0.91;-16.77;0.53;0.41;-0.11
11:48:20.422;2.01;-4.07;-12.37;-0.62;0.01;0.22
11:48:20.469;1.52;-1.32;-8.43;-0.17;0.63;-0.12
11:48:20.490;0.94;-4.85;-12.99;-0.16;0.39;-0.06
11:48:20.534;3.12;0.72;-23.62;-0.67;-0.30;0.16
11:48:20.579;2.94;-0.59;-18.15;-0.42;0.33;0.12
11:48:20.635;0.84;-3.01;-10.94;0.13;0.17;-0.18
11:48:20.659;1.82;-1.48;-11.85;-0.65;-0.88;0.10
11:48:20.702;1.33;1.44;-14.60;0.44;-0.51;0.06
11:48:20.746;-0.16;-0.92;-6.79;-0.94;0.10;-0.15
11:48:20.804;-2.69;-4.45;-17.68;-0.17;-0.45;0.08
11:48:20.850;2.93;3.23;-12.56;0.16;-0.01;0.23
11:48:20.871;1.60;1.70;-16.30;-0.13;0.50;-0.15
11:48:20.916;0.11;-0.83;-12.84;0.17;0.48;-0.01
11:48:20.962;2.68;-2.71;-11.83;0.04;-0.56;0.13
11:48:21.017;2.92;-1.44;-13.39;-0.03;0.06;-0.09
11:48:21.041;-1.94;-2.31;-6.98;-0.64;-0.05;-0.17
11:48:21.084;-0.34;-4.66;-20.50;0.03;-0.78;0.10
11:48:21.130;1.79;2.60;-11.40;0.16;0.04;-0.04
11:48:21.187;1.11;-0.88;-15.50;-0.07;0.77;-0.10
11:48:21.211;0.34;-5.31;-10.04;0.11;0.25;0.00
11:48:21.254;3.44;-1.53;-11.10;-0.07;-0.40;0.27
11:48:21.299;2.53;0.07;-12.01;-0.01;0.16;0.02
11:48:21.343;-1.41;3.36;-9.35;0.11;-0.21;-0.25
11:48:21.379;-0.11;-0.69;-12.82;-0.26;-0.92;0.20
11:48:21.422;1.53;-5.28;-17.01;0.06;0.29;0.11
11:48:21.467;3.19;-3.35;-16.99;0.25;0.46;-0.09
11:48:21.513;2.10;-1.18;-19.52;-0.08;-0.09;0.07
11:48:21.570;0.18;-3.83;-11.10;0.00;-0.01;0.22
11:48:21.594;2.22;-0.12;-6.54;-0.08;0.28;-0.10
