time;accelX;accelY;accelZ;gyroX;gyroY;gyroZ
11:42:55.019;1.96;-3.57;-7.38;0.27;0.22;-2.34
11:42:55.039;0.93;-1.56;-7.87;0.09;-0.25;-2.54
11:42:55.083;0.65;1.02;-8.77;0.25;0.04;-2.54
11:42:55.127;2.64;-2.3;-6.35;0.38;-0.42;-2.7
11:42:55.185;2.44;-4.48;-19.19;0.24;0.12;-2.28
11:42:55.208;-0.16;0.99;-11.16;-0.01;0.07;-1.39
11:42:55.251;0.91;-2.74;-6.79;-0.21;-0.57;-0.99
11:42:55.296;0.56;-3.43;-16.63;-0.03;-0.13;-0.66
11:42:55.353;2.67;-1.31;-15.38;0.73;-0.35;-0.41
11:42:55.376;2.53;-0.47;-6.97;-0.34;-0.24;-0.21
11:42:55.421;2.71;-0.04;-9.66;0.03;0.07;-0.37
11:42:55.467;0.56;-2.8;-8.84;0.2;0.09;-0.28
11:42:55.511;2.23;-2.24;-9.52;0.06;0.3;-0.11
11:42:55.546;1.87;-1.49;-10.91;0.45;0.21;-0.16
11:42:55.589;3.4;-3.01;-12.77;-0.07;-0.11;0.07
11:42:55.635;0.9;4.79;-8.31;0;-0.29;-0.17
11:42:55.681;1.77;-3.4;-11.45;-0.49;-0.45;0.13
11:42:55.712;1.02;2.43;-11.02;-0.28;0.42;-0.03
11:42:55.758;1.1;3.98;-18.27;-0.31;-0.67;0.25
11:42:55.804;1.7;-3.5;-13.05;-0.07;-0.41;0.03
11:42:55.849;0.12;-1.91;-13.9;0.42;0.47;-0.13
11:42:55.871;3.33;-3.52;-11.34;-0.07;0.28;-0.03
11:42:55.926;0.17;0.59;-11.29;-0.08;0.06;-0.09
11:42:55.972;0.98;0.58;-10.64;-0.44;-0.41;0.15
11:42:56.017;1.55;0.19;-11.04;-0.04;-0.05;-0.06
11:42:56.063;-0.07;-0.23;-16.86;-0.1;0.12;-0.08
11:42:56.095;3.31;-3.26;-16.54;0.61;0.22;0.08
11:42:56.140;1.41;-1.55;-20.56;-0.21;-0.17;-0.1
11:42:56.186;0.22;0.51;-13.27;-0.2;-0.23;0.09
11:42:56.231;-1.43;-3.42;-9.33;-0.45;0.06;-0.1
11:42:56.276;0.7;-0.47;-15.25;-0.05;0.6;-0.19
11:42:56.310;1.34;-0.15;-6.42;0.37;-0.17;0.14
11:42:56.355;3.94;-1.31;-8.01;-0.53;0.06;0.02
11:42:56.400;0.2;-1.5;-3.38;-0.52;-0.83;0.03
11:42:56.422;2.55;2.48;-14.25;-0.62;0.14;0.18
11:42:56.478;1.34;0.93;-13.55;0.27;-0.16;-0.09
11:42:56.524;-0.64;-0.99;-8.13;-0.18;-0.45;0.12
11:42:56.570;3.05;-0.01;-15.12;-0.27;0.07;-0.02
11:42:56.615;0.55;-2.39;-7.11;0.73;0.42;-0.02
11:42:56.637;2.23;0.42;-10.51;-0.46;-0.36;0.26
11:42:56.692;2.49;-0.34;-10.73;0;-0.21;-0.01
11:42:56.738;1.06;-0.7;-15.3;0.38;0.26;-0.16
11:42:56.782;1.55;-1.49;-6.23;-0.82;-0.18;0.16
11:42:56.803;2.17;1.08;-11.82;-0.03;0.41;-0.05
11:42:56.862;0.24;-2.03;-18.3;0.23;0.18;-0.12
11:42:56.905;3.14;-1.29;-10.81;-0.19;0.05;0.18
11:42:56.952;2.12;-1.25;-19.71;-0.05;0.12;-0.03
11:42:56.974;0.28;-1.72;-13.94;-0.27;-0.44;0.02
11:42:57.019;1.24;-2.71;-12.99;0.28;0.08;0.12
11:42:57.075;-1.78;-0.28;-9.39;-0.06;-0.14;-0.25
11:42:57.121;0.2;1.4;-16.84;-0.74;-0.13;-0.1
11:42:57.143;0.78;-2.7;-9.81;0.3;0.05;0.12
11:42:57.187;1.64;-2.37;-13.3;-0.01;0.1;-0.17
11:42:57.232;-0.06;0.55;-10.64;-0.09;-0.4;0.13
11:42:57.288;0.57;-3.31;-9.49;0.1;-0.13;0.09
11:42:57.313;2.81;0.58;-13.83;-0.03;0.46;-0.16
11:42:57.356;1.32;2.71;-7.39;0.26;0.11;0.22
11:42:57.401;0.39;-2.89;-11.79;-0.26;0.18;-0.17
11:42:57.457;5;-0.63;-24.06;0.32;0.76;0.21
11:42:57.484;2.47;-1.51;-12.96;-0.01;-0.13;-1.97
11:42:57.524;3.15;-0.01;-8.11;0.24;-0.15;-2.62
11:42:57.570;1.52;-3.82;-12.71;0.72;0;-2.8
11:42:57.615;4.17;-0.85;-16.97;0.15;-0.01;-3.14
