time;accelX;gyroZ
18:49:38.439;0.55;-4.63
18:49:38.459;1.48;-3.4
18:49:38.481;0.75;-3.56
18:49:38.481;5.54;-0.1
18:49:38.515;-5.04;0.21
18:49:38.540;8.59;0.84
18:49:38.540;3.72;1.12
18:49:38.562;-1.15;0.91
18:49:38.562;3.81;0.6
18:49:38.595;-0.9;0.57
18:49:38.616;4.94;0.4
18:49:38.616;-4.6;0.45
18:49:38.640;-3.65;0.34
18:49:38.672;-0.42;0.32
18:49:38.672;-2.26;0.28
18:49:38.695;-4.24;0.11
18:49:38.729;2.17;-0.03
18:49:38.729;3.42;0.06
18:49:38.751;-9.2;2
18:49:38.751;-8.24;2.68
18:49:38.774;-8.32;2.91
18:49:38.809;-4.51;3.09
18:49:38.809;-3.07;3.72
18:49:38.831;-7.71;3.71
18:49:38.865;-2.25;4.06
18:49:38.865;-7.19;3.78
18:49:38.889;-4.75;4.28
18:49:38.909;-6.82;4.11
18:49:38.909;-3.92;4.06
18:49:38.931;-3.56;4.21
18:49:38.966;-3.04;3.79
18:49:38.966;2.57;3.75
18:49:38.990;0.77;3.64
18:49:39.021;3.17;3.48
18:49:39.021;-3.5;3.67
18:49:39.044;3.33;3.26
18:49:39.067;0.51;2.79
18:49:39.067;-10.24;3.35
18:49:39.089;-11.93;2.84
18:49:39.122;3.23;3.08
18:49:39.122;3.11;2.83
18:49:39.145;-3.43;2.97
18:49:39.145;-8.11;3.35
18:49:39.178;-5.92;3.12
18:49:39.201;-8.73;3.08
18:49:39.201;-10.18;3.48
18:49:39.223;5.83;3.12
18:49:39.258;1.39;2.97
18:49:39.258;1.62;3.25
18:49:39.280;-4.29;3.61
18:49:39.314;-1.79;3.25
18:49:39.314;-5.38;3.4
18:49:39.337;1.09;3.49
18:49:39.337;-5.75;3.27
18:49:39.358;-12.71;3.78
18:49:39.392;-3.14;3.39
18:49:39.392;-1.96;3.85
18:49:39.414;3.64;3.45
18:49:39.449;2.79;3.23
18:49:39.449;-3.87;3.22
18:49:39.471;-4.07;3.24
18:49:39.493;-6.31;2.56
